PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,"Dämpfen zu erzeugen, ...","Verdampfapparat, Staubzucker",,,,
3276,Blangy,Luigi de,,,,,... miglioramento ... nella fabbricazione delle Candele di Sego ... [Talgkerzen],"Unschlitt, Kerze",Venezia,,1838,11.09.1838
3277,Lorenzi,Gaetani de,Mori,Serafino,,,Descrizione del modo di carbonizzare la torba,"Torfkohle, Verkohlen",Milano,,1839,11.08.1839
"",,,,,,,Descrizione della nuova invenzione che ... consiste in sostanza in una nuova macchina servibile per,,,,,
3278,Jakovitz,Bartollomeo,,,,,,"Seide, Fadenkreuzung, Spinnmaschine",Milano,,1842,23.08.1842
"",,,,,,,l'incrocciatura della seta ad uso delle filande [Fadenkreuzung zum Spinnen der Seide],,,,,
"",Ehndren -,,,,,,Descrizione della nuova scoperta che ... consiste in sostanza in un nuovo sistema per torcere la,,,,,
3279,,Rudolf v.,,,,,,"Seide, Zwirnmaschine",Mailand,,1835,24.07.1835
"",Mühlhausen,,,,,,seta ... [Seidenzwirnmaschine],,,,,
"",,,,,,,Descrizione del nuovo miglioramento che ... consiste in sostanza nel coprire i metalli che ...,,,,,
3280,Noseda,Giovanni,,,,,,"Blech, Verzinnen",Milano,,1842,22.08.1842
"",,,,,,,conservare con istrato di lega composta ... [Metalle mit einer Schicht überziehen],,,,,
3281,Pinella,Giovanni,,,,,Descrizione della nuova Gremola a cilindor ... [Teigknetmaschine],"Teigwaren, Knetmaschine",Brescia,,1838,04.10.1838
3282,Deutsch,Ignaz,,,,,Beschreibung eines neu erfundenen Messers zur Fischbein Reisserei,"Fischbein, Reißeisen",Wien,,1836,14.10.1836
"",,,,,,,Beschreibung der ... Erfindung ...: durch eigends construirte Apparate aus Torföhl ein Leuchtgas,,,,,
3283,Mueller,Karl Ludwig,,,,,,"Torfölgas, Gasbeleuchtung",Wien,,1843,10.03.1843
"",,,,,,,"darzustellen, ...",,,,,
