PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
3579,Mueller,Jakob,Mueller,Matthias,,,"vordere Bedachung samt Fensterbeschließung auf 5-erlei Arten herstellen, daß sie die Stelle eines","Wagen, Wetterdach, Wagenfenster",Wien,,1843,23.10.1843
"",,,,,,,Landauerwagens ersetzen,,,,,
"",,,,,,,Beschreibung einer neuen Entdeckung zu einer vervollkommneten Einrichtung der Maschinen für,,,,,
"",Escher -,,,,,,,"Flachs, Baumwolle, Florettseide,",,,,
3580,,Gustav  Albert v.,,,,,"die Vorbereitung, Verfertigung und Verfeinerung des Flachses, der Baumwolle, Florettseide und",,Wien,,1839,28.06.1839
"",Felsenhof,,,,,,,Vorbereitungsmaschine,,,,
"",,,,,,,anderer fasrichter Substanzen,,,,,
"",,,,,,,Beschreibung und Zeichnung der neuen Erfindung und rücksichtlich der Verbesserung der Vertical-,,,,,
"",,,,,,,,"Ziegel, Dachziegel, Pflasterziegel,",,,,
3581,Langlais,Jakob,,,,,"Maschine zur Fabrikation von Ziegeln, Dachziegeln, Pflasterziegeln, Backsteinen, künstlichen",,Wien,,1839,30.09.1839
"",,,,,,,,Ziegelmaschine,,,,
"",,,,,,,Steinen und dergleichen,,,,,
"",,,,,,,"Beschreibung und Zeichnung der Horizontal-Maschine zur Fabrication von Ziegeln, Dachziegeln,","Ziegel, Dachziegel, Pflasterziegel,",,,,
3582,Langlais,Jakob,,,,,,,Wien,,1839,30.09.1839
"",,,,,,,"Pflasterziegeln, Backsteinen, künstlichen Steinen und dergleichen",Ziegelmaschine,,,,
"",,,,,,,"Beschreibung und Zeichnung der ... neuen Verbesserung, ..., daß die wasserdichten Dachplatten",,,,,
"",,,,,,,"oder Kunstschiefer ... der Dachung größere Festigkeit, Dauer, Leichtigkeit und Schönheit","Dachziegel/Glasierter, Kachel,",,,,
3583,Soherr,Karl,Soherr,Konrad,,,,,Kottingbrunn,,1843,07.12.1843
"",,,,,,,besonders aber vollkommen Schutz gegen Eindringen und Einschlagen des Regens und Schnees,Kochherdverkleidung,,,,
"",,,,,,,gewähren,,,,,
"",,,,,,,Disegno e descrizione del Moto Rotatorio Eccentrico - pel Propellimento di Naviglj ... [Rotierende,"Ruderschaufel, Wasserrad,",,,,
3584,Morgan,William,,,,,,,Londra,,1828,01.09.1828
"",,,,,,,exzentrische Bewegung als Schiffsantrieb],"Schiffsantrieb, Getriebe",,,,
3585,Dantzenberg,Jakob,,,,,Beschreibung des neu erfundenen Webestuhles,Webstuhl,Wien,,1838,17.09.1838
"",,,,,,,"Beschreibung der ... Verbesserung, ..., mit zusammengesetzten Ingredienzien Schafwollens",,,,,
"",,,,,,,,"Streichwolle, Wollwäsche,",,,,
3586,Hertzka,Karl,,,,,"Streichgarne, welches zum verspinnen mit Oehl getränkt ist, ..., durch eine billige aart, der Gestalt,",,Wien,,1839,22.08.1839
"",,,,,,,,Waschmittel,,,,
"",,,,,,,"von dem Oehle gereinigt wird, daß es ohne schwirigkeit gefärbt werden kann",,,,,
"",Grimand de,Johann Gabriel,,,,,Beitrag zur Darstellung des ... am 12.11.1838 ... verliehenen Privilegiums des vervollkommneten,,,,,
3587,,,,,,,,Filtrierapparat,Wien,,1839,30.08.1839
"",Caux,Isaak,,,,,Tonvielleschen Filters [Text frz.u.dt.],,,,,
"",,,,,,,"Beschreibung der ... Erfindung, welche in einer Composition besteht, dem Golde ähnlich, ..., um",,,,,
"",Lehner -,,,,,,,,,,,
3588,,Heinrich,,,,,"mit derselben alle Gattungen Bijutter Arbeiten als: Ringe, Bracelets etc., Ketten und noch","Legierungen, Goldimitation, Schmuck",Wien,,1843,02.08.1843
"",Boltzani,,,,,,,,,,,
"",,,,,,,sonstigen Luxus Artikel ... verfertigen zu dürfen,,,,,
"",,,,,,,"Entdekung, die Zinkblende vor ihrer Anwendung zur Darstellung des Zinks auf Schwefelsäure zu",,Weisgrün/Böhm,,,
3589,Anthon,Ernst Friedrich,,,,,,"Zinkblende, Rösten, Schwefelsäure",,,1843,01.08.1843
"",,,,,,,benutzen,,en,,,
"",,,,,,,"Descrizione della Macchina per Binare i filati, tortiglie ed altro in seta da Cucire con unito",,,,,
3590,Pozzi,Luigi,,,,,,"Zwirnmaschine, Nähseide",Milano,,1842,25.04.1842
"",,,,,,,Straccano dietro il disegno unito [Seidengarn zwirnen],,,,,
3591,Janig,Karl,Richter,August,,,Beschreibung der Schleifmaschine und Erklärung der beiliegenden Zeichnung,Schleifmaschine,Wien,,1843,07.11.1843
"",,,,,,,"Zeichnung von den fünf ganz neumethodischen Dacheindeckungen, mit allen Gattungen",,,,,
3592,Altlechner,Laurenz,Straub,M.,,,"Dachziegeln, dann Kehlheimstein, Schwarzschiefer, Zink, Guseisen und Backsteinplatten ...","Dach, Dachdecker",Wien,,1841,28.06.1841
"",,,,,,,"Werkzeuge, erforderlich zu den fünf ganz neumethodischen Dacheindekkungen, ...",,,,,
"",,,,,,,"Beschreibung der ... Erfindung ...: Eine neue harte Cocosseife, ..., in wenigen Stunden ...",,,,,
3593,Douglas,John S.,,,,,,"Kokosnußöl, Seife",Hamburg,,1843,02.10.1843
"",,,,,,,anzufertigen,,,,,
"",,,,,,,,"Wasserdichter Stoff,",,,,
"",,,,,,,"Beschreibung eines neuen Verfahrens, um Tuch und andere Stoffe wasserdicht zu machen, und","Imprägnierung/Stoff, Wasserdichtes",,,,
3594,O'Neill,Patrik Benignus,,,,,,,Wien,,1839,29.07.1839
"",,,,,,,vor Beschädigung und anderen Insekten zu schützen,"Papier, Imprägnierung/Papier,",,,,
"",,,,,,,,Mottenschutz,,,,
