PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
4649,Gorrizi,Ludwig Christian,,,,,Privilegium ... auf die Erfindung mittelst erwärmter Luft ... jedwede Localität ... zu heitzen ...,Luftheizung,Wien,,1847,11.02.1847
"",,,,,,,"Beschreibung der Erfindung einer Luftdruckmaschine, welche als stationaire Maschine und als",,,,,
4650,Petrowitz,Anton,Schloss,Moritz Wilhelm,Speer,Christian,,"Druckluftmotor, Lokomotive",Wien,,1843,25.08.1843
"",,,,,,,Locomotive anwendbar ist,,,,,
4651,Haswell,John,,,,,Beschreibung und Zeichnung der ... Verbesserung bei Rauchfängen bei Dampfmaschinen ...,"Lokomotive, Dampfkessel, Rauchfang",Wien,,1847,04.10.1847
"",,,,,,,"Beschreibung der neuen Erfindung ...: Von Haaren gewebte Damenscheitel, wie auch Wirbel und",,,,,
4652,Fischer,Kaspar,,,,,,"Taft, Perücke",Wien,,1837,17.07.1837
"",,,,,,,"Platten für Herren auf ... Taffet zu verfertigen, ...",,,,,
"",,,,,,,,,Markgrafneusie,,,
4653,Daninger,Joseph,,,,,Beschreibung des ... erfundenen Windrades mit acht Flügeln,"Windmühle, Windrad",,,1844,15.07.1844
"",,,,,,,,,dl,,,
"",,,,,,,"Beschreibung ingedachter Erfindung, alle Zinn- und Kupferplatten wie auch Lithographie- und",,,,,
4654,Hodik,Georg,,,,,,Abdruck,Wien,,1845,28.06.1845
"",,,,,,,Buchdrucker Schriften-Abdrücke in Oehl- und Lackfarben auf Metallplatten ... zu übertragen,,,,,
4655,Hofner,Joseph,,,,,... zeigt ... an eine neue Erfindung und Verbesserung auf englische Retiraden ...,Abort,Wien,,1846,03.06.1846
4656,Piasecki,Felix,,,,,Beschreibung der Erfindung des schnelleren und zweckmäßigeren Getreideschneidens,Mähapparat,Wien,,1847,17.07.1847
4657,Altschul,Adolph,Lewy,Gebrueder,,,Zubereitung der neuen erfundenen Chrom-Zünder,"Zündholz, Reibzündmasse",Prag,,1840,29.04.1840
4658,Bardach,Adolph,,,,,Das Verfahren der Verfertigung von Kautschuk-Ueberschuhen,"Gummischuh, Galosche",Stainslau,,1846,09.03.1846
4659,Schloesser,Eduard,,,,,"Beschreibung der Erfindung und Verbeßerung Soufflet Mantelsäcke ... zu verfertigen, ...",Mantelsack,Wien,,1844,23.01.1844
"",,Nicolaus Joseph,,,,,"Beschreibung der ... Entdeckung und Verbesserung, welche in ... einem neuen System von",,,,,
4660,Galland,,,,,,,Kammerofen,Wien,,1846,09.07.1846
"",,Basile,,,,,"Ziegeloefen besteht, ...",,,,,
"",,,,,,,"Beschreibung einer wichtigen Umstaltung in den Dampf-Brenn-Apparaten, um gleichzeitig mit",,,,,
4661,Pononski,Severin Graf,Stecki,Ludwig Graf,,,,"Branntwein, Destillierapparat",Brzesko,,1844,16.06.1844
"",,,,,,,demselben Feuer bei dem nehmlichen Betriebe einen 36° fuselfreien Alkohol zu gewinnen,,,,,
4662,Lechner,Georg,,,,,Beschreibung der ... verbesserten Wagen-Seitenfenster,Wagenfenster,Wien,,1844,11.05.1844
"",,,,,,,,"Zündholzschachtel,",,,,
4663,Kassel,Johann,,,,,Beschreibung uiber die Verfertigung von sogenannten allgemeinen Taschenfeuerzeugen ...,,Wien,,1846,01.07.1846
"",,,,,,,,Zigarrenspitzenmesser,,,,
4664,Hofmann,Johann,,,,,"Beschreibung der ... Verbesserung am Mechanismus eines Felperwebestuhles, ...","Felbel, Plüsch, Samt, Webstuhl",Wien,,1847,09.08.1847
"",,,,,,,"Beschreibung der Erfindung, ..., daß ... die Lichthälter an den Wagenlaternen ... festgehalten",,,,,
4665,Nerb,Adam,,,,,,Wagenlaterne,Wien,,1847,21.08.1847
"",,,,,,,"werden, ...",,,,,
4666,Planer,Alois,,,,,Beschreibung des Feuerlöschapparates,"Rauchfangfeuer, Feuerlöschapparat",Wien,,1847,15.06.1847
"",,,,,,,"Beschreibung der ... Erfindung ...: Bettdecken, Pferdedecken oder sonstige Stoffe ... aus","Decke, Bettdecke, Dessin,",,,,
4667,Stefsky,Joseph,,,,,,,Stockerau,,1837,17.06.1837
"",,,,,,,"Schafwolle, Baumwolle oder Seide, in jeder Art der Kunstwirkerei zu erzeugen ...",Jacquardmaschine,,,,
4668,Ladein,Anton,,,,,Beschreibung ... zu dem Verfahren der Schnell-Essig-Erzeugung,Essig,Mödling,,1842,25.04.1842
