PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,Jakob Franz,,,,,"Firniß"" genannt, welcher die Eigenschaft hat gänzlich hydrofugal zu sein, eine glatte und sehr",,,,,
2461,Hemberger,,,,,,,"Schwärze, Lederlack",Wien,,1835,31.10.1835
"",,Heinrich,,,,,"glänzende Schwärze zu geben; die Gegenstände ... unverderblich zu machen, schnell zu trocknen",,,,,
"",,,,,,,und die für Militär Montur Stücke bisher gebrauchte Wichse ... zu ersetzen,,,,,
"",,,,,,,,"Bilderrahmen, Spiegelrahmen,",,,,
2462,Schwefel,Anton,,,,,Beschreibung des Privilegiums auf die Erfindung neuer Spiegel- und Bilderrahmen,,Wien,,1838,30.09.1838
"",,,,,,,,Galanterie,,,,
"",,,,,,,Beschreibung: Die ... in den oesterreichischen Staaten beabsichtigte Anlegung mehrerer noch,,,,,
2463,Gerike,Friedrich,Wagner,Ernst,,,,Vergnügungsbahn,Wien,,1829,13.11.1829
"",,,,,,,"nicht bestehender, noch bestandener Rutsch oder Kreisfahrbahnen in allen möglichen Arten, ...",,,,,
2464,Santo,Venerando,,,,,Descrizione di un nuovo Molino ... [Mühle],"Mühle, Getriebe",Venezia,,1834,22.08.1834
"",Caffone de,,,,,,Beschreibung der Bereitungsart des von ... neu erfundenen sehr wohlriechenden geistigen,,,,,
2465,,Peter,,,,,,"Parfüm, Perubalsam, Lösungsmittel",St.Pölten,,1832,20.08.1832
"",Matacci,,,,,,Parfüms /: Aromatisch peruvianisches Wasser ... 2. Die Auflösung des peruvianischen Balsam,,,,,
"",,,,,,,Descrizione della nuova Scoperta che ... consiste in Sostanza di valersi della macchina atta alla,,,,,
2466,Ghisi,Lorenzo,,,,,,"Tiefbohrung, Bohrapparat, Brunnen",Milano,,1834,25.09.1834
"",,,,,,,Torcellazione di molte bronia ... [Bohrbrunnen],,,,,
"",,,,,,,Descrizione della nuova scoperta che ... consiste in Sostanza in un nuovo processo per ispogliare il,,,,,
2467,Gereschi,Vincenzo,,,,,,Reismühle,Cremona,,1834,22.09.1834
"",,,,,,,riso dalla sua guscia ... [Reisenthülsungsmaschine],,,,,
