PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,"neben einer Schnur zum Ziehen hinlaufenden Rohre oder Schlauche (wie ein Hörrohr) bestehend,",,,,,
2776,Lehmann,Salomon,,,,,,"Sprachrohr, Hörrohr",Wien,,1839,17.04.1839
"",,,,,,,jedem in einem Wagen sitzenden Individuum die Communication desselben mit seinem Kutscher,,,,,
"",,,,,,,gegen vorwärts oder dem Bedienten gegen rückwärts möglich macht,,,,,
"",,,,,,,"Beschreibung der ... Erfindung, ..., daß sie auf eine neue und eigenthümliche Art alle Arten",,,,,
"",,,,,,,,"Imprägnierung/Stoff, Wasserdicht(er)",,,,
2777,The Losen,Gebrueder,,,,,"schafwollener, seidener, leinerner und Baumwollen Gespinnste, Schuhe, Stricke und Gewebe und",,Wien,,1839,20.04.1839
"",,,,,,,,"Stoff, Leder/wasserdichtes",,,,
"",,,,,,,"gefilzte Stoffe, sowie alle Arten des Leders wasserdicht machen",,,,,
"",,,,,,,Beschreibung ... auf die Erfindung einer Composition zur Uebertünchung aller Gattungen,,,,,
2778,Darebny,Joseph,,,,,"Eisenbleche, welche zur Dachdeckung angewendet werden, um solche vor dem Rost zu bewahren","Blechplatte, Dach, Anstrich, Rostschutz",Wien,,1840,26.03.1840
"",,,,,,,...,,,,,
"",,,,,,,"Beschreibung des Apparates, mittelst dessen die atmosphärische Luft, durch Wasserdämpfe",,,,,
2779,Pirko,Karl,,,,,"erhitzt wird, und bei allen Schmiedefeuerungen mit dem größten Vortheil in Anwendung gebracht","Feuerung, Esse, Luftvorwärmer",Wien,,1840,21.02.1840
"",,,,,,,werden kann,,,,,
2780,Leistler,Karl,,,,,Beschreibung der neu erfundenen Parquetten,Parkettboden,Wien,,1840,20.03.1840
"",Puget de St.,,,,,,"Beschreibung eines Privilegiums für Erfindung und die Einfuhr eines Apparates geeignet, alle",,,,,
2781,,,Tarifat,,,,,Dampfbad,Wien,,1840,22.02.1840
"",Marc,,,,,,Gattungen Dampfbäder in der Wohnung zu geben [Text frz.u.dt.],,,,,
2782,Fischer,Johann,,,,,Beschreibung der ... Verbesserung an den Strassen-Laternen,"Straßenbeleuchtung, Laterne",Wien,,1838,01.03.1838
