PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,Auseinandersetzung der Erfindung einer wesentlichen Verbesserung in der Fabrikation harter,,,,,
5344,Kendal,Henry,,,,,,Seife,Wien,,1841,06.09.1841
"",,,,,,,Seife,,,,,
"",,,,,,,"Privilegiums-Gesuch für ein neues Verfahren, die Thier-Kohle mittelst Hitze wiederherzustellen,",,,,,
"",,,,,,,,"Knochenkohle, Glühofen,",,,,
5345,Danjoy,,Delacroix,Lagoutte,,,wofür dem Herrn Lagoutte Delacroix am 28.08.1839 ein Einführungspatent für das Königreich,,Paris,,1838,12.06.1838
"",,,,,,,,Regeneration,,,,
"",,,,,,,Belgien bewilligt worden ist,,,,,
"",,,,,,,"Beschreibung zur anliegenden Zeichnung einer Erfindung, den Bau der Achsen und Gestelle der","Eisenbahnwagen, Wagenachse,",,,,
5346,Wetzlich,Ferdinand Ludwig,,,,,,,Wien,,1844,09.12.1844
"",,,,,,,Eisenbahnwägen betreffend,Untergestell,,,,
5347,Bornati,Corradino,Locatelli,Elia,,,Descrizione della Macchinetta alla tavelle migliorata ed applicata per la filatura dello Struss,"Seide, Seidenabfälle, Spinnmaschine",Milano,,1845,30.09.1845
"",,,,,,,Descrizione ... del nuovo invenzione che ... consiste in sostanza in nuovo sistema di ricostruzione,,,,,
5348,Curioni,Guilio,,,,,,"Eisen, Schmelzofen, Hochofen",Milano,,1845,27.10.1845
"",,,,,,,dei forni fusorii di ferro ... [Eisenschmelzofen],,,,,
"",,,,,,,Descrizione di un forno di nuovo invenzione per la produzione simultanea di gas e di coke a Storta,,,,,
5349,Peysson,Luigi,,,,,,"Leuchtgas, Koks, Trockene Destillation",Milano,,1845,22.05.1845
"",,,,,,,rotanti [Gas und Kokserzeugung in rotierenden Retorten],,,,,
"",,,,,,,,"Beleuchtung, elektrische, Zündung,",,,,
5350,Davy,Henry Savill,,,,,Beschreibung eine neue Art Licht zu erzeugen,,Wien,,1845,17.11.1845
"",,,,,,,,elektrische,,,,
