PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,"Wassereimer, Füll- u. Traggefäße, Trinkgeschirre ... Regenmäntel, Schirme, Zelte ... Sohlen ...",,,,,
"",,,,,,,"Uiberzug von Papier, Metall u. Holzgegenständen ... gegen Feuchtigkeit in Zimmern ... Fußböden ...",,,,,
"",,,,,,,5.) ... zur Auflösung d. Kautschuks ...,,,,,
"",,,,,,,Beschreibung: Nach der beiliegenden Zeichnung werden durch diese Maschine ... Tabacks-Pfeifen-,,,,,
2019,Brunner,Franz,,,,,,"Tabakspfeife, Drehbank",Eisenstadt,,1837,10.01.1837
"",,,,,,,"Dekkel von edlem oder unedlem Metalle, groß oder kleiner Art ... erzeugt",,,,,
"",,,,,,,"Beschreibung der ... Erfindung, ...: daß die glatten Gold u. Silber Treß wie auch Bandborten,",,,,,
2020,Antropp,Johann,,,,,,"Borte, Bandstuhl",Wien,,1835,30.05.1835
"",,,,,,,"besonders derley leonische von Gespunst auf Mühl, oder Schupstühlen ... bearbeitet werden ...",,,,,
"",,,,,,,"Beschreibung der Verbesserung an den Webstühlen zur Schal und Schwaltuch Erzeugung, und",,,,,
"",,,,,,,,"Schal, Bandstuhl, Dessin,",,,,
2021,Esche,Joseph,Wittenberg,Leopold,,,"überhaupt zur Verfertigung von Geweben mit Desseins, und an der Zeichnung des Quadricats-",,Wien,,1837,21.04.1837
"",,,,,,,,"Weberzettelpapier, Stickmusterpapier",,,,
"",,,,,,,Papiers zur Weberey oder zum sticken mit Desseins ...,,,,,
"",,,,,,,"Beschreibung der ... Erfindung und rispective Verbesserung, ...: Bugsirungs Fahrzeuge",,,,,
"",,,,,,,,"Dampfmaschine, Schiffsantrieb,",,,,
2022,Raymond,Joseph,,,,,/:remorqueur:/ zur Benützung und Befahrung des ganzen Donaustromes vermittelst eigens hiezu,,Brünn,,1837,27.01.1837
"",,,,,,,,Schleppschiffahrt,,,,
"",,,,,,,... verfertigten Schiffahrts Dampfmaschinen zu erbauen ...,,,,,
"",,,,,,,"Beschreibung der ... Verbesserung, ...: WasserdichteHolz-Bast- und Stroh-Hüte zu verfertigen, die",,,,,
2023,Boldrini,Peter,,,,,"a) am Regenwasser nicht durchdrungen werden, und b) durch die Nässe ihre Farbe nicht","Holz, Bast, Stroh, Hut, Wasserdichter",Wien,,1837,08.02.1837
"",,,,,,,verändern,,,,,
"",,,,,,,Versiegelte Beschreibung auf die Verbesserung einer Erfindung: Mit jedem Weberstuhle einen,,,,,
"",,,,,,,"einfachen Mechanismus in Verbindung zu bringen, vermittelst welchen das Auf- und Abtretten",,,,,
2024,Sottil,Karl,Sottil,Michael,,,,"Webstuhl, Weberkamm",Wien,,1837,20.04.1837
"",,,,,,,"der Litze, daher die Erzeugung eines jeden beliebigen Fabricats, sey es von Seide, Wolle oder Garn,",,,,,
"",,,,,,,mit ein einzigen Tritt bewirkt wird,,,,,
"",,,,,,,"Beschreibung, Zeichnung und Erklärung der Zeichnung des ... neu erfundenen Schmelzofens, ...,",,,,,
2025,Fletcher,Matthew,Punshon,John,,,"das Eisen und andere Metalle und Erze in einem neu erfundenen Schmelzofen zu schmelzen, wie","Schmelzofen, Verhüttung, Hochofen",Wien,,1837,23.02.1837
"",,,,,,,auch in einer neuen Art die Luft zu erwärmen,,,,,
"",,,,,,,"... zeigt ... an eine Gesichts-Pomade erfunden zu haben, welche die Eigenschaft hat, die Weiße des",,,,,
2026,Breck,Anna,,,,,"Teints zu erhöhen, alle Flecken der Haut zu vertreiben, und dem Gesichte noch im herbstlichen","Pomade, Hautcreme",Wien,,1836,27.06.1836
"",,,,,,,Alter ein furchenfreies fast jugendliches Ansehen zu geben,,,,,
2027,Margotti,Johann Baptist,,,,,Beschreibung zur einfachen Bereitung des Glanzpapiers und der Presspäne,Preßspan,Wien,,1837,11.05.1837
"",,,,,,,,"Spülmaschine, Waschmaschine,",,,,
2028,Titz,Anton,,,,,Behandlung der Spiel oder Waschmaschine,,Reichenberg,,1828,07.07.1828
"",,,,,,,,Appreturmaschine,,,,
2029,Titz,Anton,,,,,"Beschreibung der Bohrbrunnen, oder Artesischer Brunnen","Tiefbohrung, Brunnen/Artesischer",Reichenberg,,1831,22.06.1831
"",,,,,,,"... Die Vortheile dieser Verbesserung bestehen darin, daß an den argantischen Lampen eine",,,,,
"",,,,,,,"Vorrichtung angebracht ist, wodurch jedes Glas ... so gestellt werden kann, daß es genau auf die",,,,,
2030,Glanz,Joseph,,,,,,Lampe,Wien,,1836,25.10.1836
"",,,,,,,"Lampe paßt, welches zur Erreichung eines reinen und guten Lichtes unerläßlich ist und bisher bey",,,,,
"",,,,,,,"allen Lampen außer Acht gelassen worden ist, ...",,,,,
"",,,Weitenhiller,Umbach Julius,,,,"Marmor, Dach, Fußboden, Gesims,",,,,
2031,Strauss,Johann Christoph,,,Zinsmeister,Anton,Verfahrungs Methode bei Bedachungen mit marmor Stein Platten,,Wien,,1830,04.09.1830
"",,,Joseph,& Moritz,,,,"Einfassung, Kitt",,,,
"",Romer - Kis-,,,,,,"... mittelst eines neuen Trockenapparats alle ... Gegenstände ... mit gleicher, bissher nicht",,,,,
2032,,Stephan Edl.v.,,,,,,Trockenapparat,Wien,,1838,08.01.1838
"",Enyitzke,,,,,,gekannter Schnelligkeit und Oeconomie getrocknet werden können.,,,,,
"",,,,,,,Descrizione della Scoperta che ... consiste in un nuovo miglioramento da lui fatto ad una sua,,,,,
2033,Vallet,Giuseppe,,,,,"macchina per fare con somma celerità i denti ai pettini di avorio, ... [Fräse zum Schneiden der","Kamm, Fräsmaschine/Kamm",Milano,,1827,28.09.1827
"",,,,,,,Kammzähne],,,,,
"",,,,,,,Descrizione della Scoperta che ... consiste nell'aggiunta di un pettina all Carde fin'ora impiegato,,,,,
2034,Venini,Gaetano,,,,,,"Kamm, Krempeln, Seide",Milano,,1832,05.05.1832
"",,,,,,,"per lavoro dei fiocetti di filogello, ... [Seidenhechel]",,,,,
