PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,[Seidenspinnmaschine],,,,,
"",,,,,,,"Erfindung, welche ... besteht 1.) In einer Legirung ..., aus welcher sie alle ... Gußwaren erzeugen ...",,,,,
5087,Kitschelt,August,Schneller,Ernst,,,,"Legierung, Gußmetall",Wien,,1839,15.04.1839
"",,,,,,,"2.) ... allerley Baugegenstände, z.B. Monumente, Grabmähler etc...",,,,,
"",,,,,,,"Beschreibung der neuen Erfindung von Kalköfen, worauf Franz und Gebrüder Michieli von",,,,,
5088,Michieli,Francesco,,,,,,Kalkofen,Ampezzo,,1839,14.09.1839
"",,,,,,,Ampezzo ein ausschl.Priv. auf 10 Jahre angesucht haben [Text ital.],,,,,
5089,Lengsfeld,Lazar,,,,,Beschreibung meiner Fettglanzwichse,Wichse,Neuschloss,,1840,06.05.1840
5090,Boehm,Sigmund,,,,,Beschreibung der Fabrikation der ... Nachtlichter und Dochte,"Hausschwamm, Docht, Nachtlicht",Wien,,1843,05.07.1843
5091,Desvignes,Peter Hubert,,,,,"Die Erfindung besteht von ganz neue Heitz-Oefen, ...",Ofen,Wien,,1843,06.09.1843
"",,,,,,,"Demande, d'un brevet ... pour de nouveau instruments de pesage notamment une Grue balance,",,,,,
5092,Herny,Louis,,,,,,"Kran,Dezimalwaage",Paris,,1844,01.05.1844
"",,,,,,,... [Kranwaage],,,,,
"",,,,,,,"Beschreibung der ... neuen Erfindung und Verbesserung von Schuhen und Stiefeln, zu nennen:",,,,,
5093,Baumgartner,Joseph,,,,,,"Holzschuh, Holzstiefel",Wien,,1845,16.10.1845
"",,,,,,,Gesundheits-Schuhe und Stiefel,,,,,
"",,,,,,,"Beschreibung ... auf die Erfindung der fabriksmäßigen Erzeugung von Metalldrahten aller Art,",,,,,
5094,Rosthorn,Gerbueder,,,,,,Drahtziehen,Wien,,1846,09.08.1846
"",,,,,,,mittelst Maschinen Drahtzugscheuben für jede beliebige Kraft,,,,,
"",,,,,,,Descrizione e Disegni della nuova invenzione che ... consiste in cinque apparati di sicurezza per,,,,,
"",,,,,,,,"Eisenbahn, Bremse, Drehgestell,",,,,
5095,Piatti,Giovanni Battista,,,,,"prevenire gli accidenti sulle strade ferrate, ed un misuratore della velocità ... [Sicherheitsapparate",,Londra,,1846,20.05.1846
"",,,,,,,,"Kupplung, Tachometer",,,,
"",,,,,,,und Tachometer für Eisenbahnen],,,,,
5096,Reach,Alexander,,,,,(Baumwoll) Papiermassa-Pfeifen ...,"Papiermaché, Tabakspfeife",Prag,,1847,18.10.1847
"",,,,,,,Descrizione della nuova scoperta che ... consiste in sostanza nella sostituzione di diversi,,,,,
5097,Pessina,Luigi,,,,,,Zündholz,"Milano, Agosto",,1847,
"",,,,,,,ingredienti nella composizione dei solfarelli ... [Zündhölzer],,,,,
5098,Whitehad,Robert,,,,,Descrizione del sistema di costruzione delle Filande meccaniche da seta ... [Seidenhaspel],"Seidekokon, Seidenhaspel",Milano,,1847,04.08.1847
5099,Hornung,Philipp Maria,Kessberg,Jakob,Schmelkes,Markus,Beschreibung der [Linier- und Rastrier-]Maschine,"Liniermaschine, Papier/Rubriziertes",Prag,,1847,04.11.1847
"",,,,,,,"Beschreibung der Repetizions-Mechanik, welche sehr einfach, und ohne die Taste, wie bey",,,,,
5100,Bachmann,Wilhelm,,,,,"gewöhnlichen Klavieren herauf zu lassen, wenn sie gedrückt wird, und keine Feder hat, dennoch",Klaviermechanik,Wien,,1847,10.11.1847
"",,,,,,,"sehr gut repetirt, ...",,,,,
5101,Schraml,Mathias,Tlach,Vinzenz,,,Beschreibung der Säbelfabrication,Säbel,Wien,,1848,02.06.1848
"",,,,,,,Nähere Beschreibung und Anwendung der Erfindung einer Verbeserung der Besatzungen oder,,,,,
5102,Olbrich,Anton,Schnellinger,Joseph,,,,"Schloß, Beschlag",Wien,,1848,06.10.1848
"",,,,,,,"Eingerichte an Haus-, Thor-, Zimmer-, Thür- und Kastenschlössern ...",,,,,
"",,,,,,,"Beschreibung der ... Erfindung, ..., das zu Dampfmaschinen mechanischer Werkstätten oder",,,,,
5103,Pamperl,Georg,,,,,"sonstig gebrauchte und schon beschmutzte, bisher unbrauchbar gewordene Werg so zu reinigen,","Werg, Reinigungsmittel",Stockerau,,1846,27.07.1846
"",,,,,,,"daß es zu demselben Gebrauch wieder verwendet werden kann, ...",,,,,
"",,,,,,,"Beschreibung der ... Erfindung, ..., 1. die Dämpfe des Aethers als Triebkraft für Dampfmaschinen zu",,,,,
"",,,,,,,verwenden ... 2. durch neu erfundene Dampfentwicklungs- und Condensations-Apparate ... den,"Schwefeläther, Aetherdampf,",,,,
5104,Spoerlin,Michael,Schmid,Heinrich Daniel,,,,,Wien,,1845,21.07.1845
"",,,,,,,"Aether fort während ... zu benutzen, 3. durch eine neue Construction von Stopfbüchsen die","Dampfmaschine, Stopfbüchse",,,,
"",,,,,,,vollständige Verdichtung aller ... Theile dieser Maschinen zu erzielen ...,,,,,
5105,Perini,Francesco,,,,,Descrizione del Torchio a pressione idraulica ... [Hydraulische Presse],Presse,Venezia,,1844,04.01.1844
"",,,,,,,,"Leder, Imprägnierung/Leder,",,,,
5106,Lederer,Maria,geb. Schawel,,,,"Beschreibung der ... Verbesserung in der Erzeugung von Taschnerwaren, ...",,Prag,,1843,05.11.1843
"",,,,,,,,Taschnerwaren,,,,
"",,,,,,,Beschreibung der neuen Erfindung und Verbesserung in Verfertigung der Ketten und Werpfen,,,,,
5107,Honegger,Kaspar,,,,,,Webstuhl,Bregenz,,1844,07.08.1844
"",,,,,,,oder Rändeln für die Handweberei,,,,,
