PRO_COM;COMUNE;year;n
19036;Cremona;1869;1
19036;Cremona;1879;1
20030;Mantova;1892;1
20030;Mantova;1896;1
20030;Mantova;1898;1
20065;Suzzara;1897;1
21008;Bolzano;1864;1
21008;Bolzano;1871;2
21008;Bolzano;1877;2
21008;Bolzano;1878;1
21008;Bolzano;1888;3
21008;Bolzano;1889;3
21008;Bolzano;1891;1
21008;Bolzano;1895;1
21008;Bolzano;1897;1
21008;Bolzano;1898;1
21011;Bressanone;1880;2
21013;Brunico;1885;1
21020;Cermes;1888;1
21051;Merano;1879;1
21051;Merano;1880;2
21051;Merano;1881;1
21051;Merano;1882;1
21051;Merano;1889;1
21051;Merano;1893;1
21051;Merano;1894;4
21051;Merano;1895;1
21051;Merano;1896;1
21051;Merano;1897;1
21051;Merano;1898;1
21051;Merano;1899;1
21065;Ponte Gardena;1894;1
22014;Bezzecca;1872;1
22014;Bezzecca;1880;1
22050;Cavalese;1895;1
22064;Commezzadura;1879;1
22153;Riva del Garda;1886;1
22153;Riva del Garda;1893;1
22205;Trento;1867;2
22205;Trento;1876;1
22205;Trento;1882;1
22205;Trento;1888;2
22205;Trento;1892;1
22205;Trento;1894;1
22205;Trento;1897;1
23034;Ferrara di Monte Baldo;1874;1
23091;Verona;1870;1
23091;Verona;1880;1
23091;Verona;1883;1
23091;Verona;1886;1
23091;Verona;1891;1
23091;Verona;1895;1
23091;Verona;1897;2
24057;Marostica;1898;1
24060;Montebello Vicentino;1883;1
24100;Schio;1891;1
24100;Schio;1896;1
24100;Schio;1897;1
24100;Schio;1898;1
24118;Villaverla;1891;1
25005;Auronzo di Cadore;1892;1
26021;Conegliano;1882;1
26021;Conegliano;1888;1
26086;Treviso;1865;1
26086;Treviso;1873;1
26086;Treviso;1884;1
26086;Treviso;1891;1
26092;Vittorio Veneto;1889;1
27023;Mira;1864;1
27023;Mira;1886;1
27024;Mirano;1888;1
27042;Venezia;1859;1
27042;Venezia;1861;2
27042;Venezia;1864;2
27042;Venezia;1865;1
27042;Venezia;1873;1
27042;Venezia;1874;2
27042;Venezia;1878;1
27042;Venezia;1880;1
27042;Venezia;1881;1
27042;Venezia;1888;1
27042;Venezia;1889;1
27042;Venezia;1890;4
27042;Venezia;1891;1
27042;Venezia;1892;1
27042;Venezia;1895;1
27042;Venezia;1896;1
27042;Venezia;1897;1
27042;Venezia;1898;1
28045;Limena;1894;1
28045;Limena;1895;1
28046;Loreggia;1869;1
28054;Mestrino;1891;1
28060;Padova;1867;1
28060;Padova;1888;1
28060;Padova;1889;1
28060;Padova;1893;1
28060;Padova;1897;1
28060;Padova;1898;3
28060;Padova;1899;1
30023;Cervignano del Friuli;1874;1
30023;Cervignano del Friuli;1881;1
30023;Cervignano del Friuli;1882;2
30023;Cervignano del Friuli;1884;1
30023;Cervignano del Friuli;1888;1
30049;Lignano Sabbiadoro;1866;1
30049;Lignano Sabbiadoro;1892;1
30049;Lignano Sabbiadoro;1893;1
30049;Lignano Sabbiadoro;1894;1
30054;Malborghetto Valbruna;1879;2
30117;Tarvisio;1885;1
30129;Udine;1892;1
31007;Gorizia;1875;1
31007;Gorizia;1877;1
31007;Gorizia;1879;1
