year;comune_code;n;location;country;lat;long;COMUNE;PRO_COM
1867;3874;1;Pallanza;NA;45,9258794000000;8,54991790000000;Verbania;3156
1867;3919;2;Biella;NA;45,5628842000000;8,05833970000000;Biella;2012
1867;4067;1;Cherasco;NA;44,6476518000000;7,85818820000000;Cherasco;4067
1867;4078;1;Cuneo;NA;44,3844766000000;7,54267110000000;Cuneo;4078
1867;4128;1;Monasterolo di Savigliano;NA;44,6874868000000;7,62081890000000;Monasterolo di Savigliano;4128
1867;4130;1;Mondovì;NA;44,3956154000000;7,81864900000000;Mondovi';4130
1867;6003;2;Alessandria;NA;44,9072727000000;8,61167960000000;Alessandria;6003
1867;8045;1;Pontedassio;NA;43,9407013000000;8,01275580000000;Pontedassio;8045
1867;10025;8;Genova;NA;44,4071448000000;8,93473810000000;Genova;10025
1867;10807;1;Cornigliano;NA;44,4268770000000;8,87406970000000;Genova;10025
1867;10819;1;San Francesco d'Albaro;NA;44,3968314000000;8,96823170000000;Genova;10025
1867;10826;2;Sestri Ponente;NA;44,4276588000000;8,85281640000000;Genova;10025
1867;10926;2;Savona;NA;44,3034046000000;8,47433150000000;Savona;9056
1867;13075;1;Como;NA;45,8063817000000;9,08518670000000;Como;13075
1867;13237;1;Vendrogno;NA;46,0341907000000;9,32919500000000;Vendrogno;13237
1867;15126;1;Lodi;NA;38,1341477000000;-121,27221940000000;NA;NA
1867;15146;23;Milano;NA;45,4641943000000;9,18963460000000;Milano;15146
1867;15414;1;Olgiate Olona;NA;45,6327865000000;8,88496820000000;Olgiate Olona;12108
1867;16024;1;Bergamo;NA;45,6941966000000;9,67074620000000;Bergamo;16024
1867;16133;1;Martinengo;NA;45,5697537000000;9,76497090000000;Martinengo;16133
1867;17029;2;Brescia;NA;45,5415526000000;10,21180190000000;Brescia;17029
1867;17133;1;Palazzolo sull'Oglio;NA;45,5958996000000;9,88606970000000;Palazzolo sull'Oglio;17133
1867;18110;1;Pavia;NA;45,1853967000000;9,15525620000000;Pavia;18110
1867;18182;1;Voghera;NA;44,9917543000000;9,01185100000000;Voghera;18182
1867;24116;1;Vicenza;NA;45,5461815000000;11,54137790000000;Vicenza;24116
1867;26086;1;Treviso;NA;45,6669338000000;12,24306080000000;Treviso;26086
1867;27042;10;Venezia;NA;45,4403790000000;12,31595470000000;Venezia;27042
1867;28060;1;Padova;NA;45,4105029000000;11,87820710000000;Padova;28060
1867;34006;2;Borgo Taro;NA;44,4876053000000;9,76739070000000;Borgo Val di Taro;34006
1867;34027;1;Parma;NA;44,8014788000000;10,32799110000000;Parma;34027
1867;36023;1;Modena;NA;44,6471280000000;10,92522690000000;Modena;36023
1867;37006;5;Bologna;NA;44,4948870000000;11,34261630000000;Bologna;37006
1867;37053;1;San Giovanni in Persiceto;NA;44,6411090000000;11,18447120000000;San Giovanni in Persiceto;37053
1867;38008;2;Ferrara;NA;44,8392500000000;11,61755370000000;Ferrara;38008
1867;39012;1;Lugo;NA;43,0071361000000;-7,55639860000000;NA;NA
