year;location;COMUNE;lat;long;PRO_COM;comune_code;patents_austria;patents_italy;patents_together
1867;Ferrara;Ferrara;44,8392500000000;11,61755370000000;38008;38008;0;2;2
1867;Lugo;NA;43,0071361000000;-7,55639860000000;NA;39012;1;1;2
1867;Ancona;Ancona;43,6071395000000;13,51017410000000;42002;42002;0;1;1
1867;Tolentino;Tolentino;43,2086993000000;13,28479850000000;43053;43053;0;1;1
1867;Carrara;Carrara;44,0696550000000;10,08241610000000;45003;45003;0;1;1
1867;Massa;Massa;44,0359323000000;10,13955190000000;45010;45010;0;1;1
1867;Pescia;Pescia;43,9019097000000;10,68912660000000;47012;46806;0;1;1
1867;Firenze;Firenze;43,7699685000000;11,25767060000000;48017;48017;2;16;18
1867;Pisa;Pisa;43,7228385000000;10,40175810000000;50026;50026;0;1;1
1867;Piombino;Piombino;42,9255951000000;10,52595350000000;49012;50808;0;1;1
1867;Arezzo;Arezzo;43,4633082000000;11,87962150000000;51002;51002;0;1;1
1867;Perugia;Perugia;43,1107168000000;12,39082790000000;54039;54039;0;1;1
1867;Roma;Roma;41,8967068000000;12,48220250000000;58091;58091;0;1;1
1867;Isola del Liri;Isola del Liri;41,6771631000000;13,57489300000000;60043;61849;0;1;1
1867;Cerreto Sannita;Cerreto Sannita;41,2848535000000;14,56070210000000;62023;62023;0;1;1
1867;Napoli;Napoli;40,8517983000000;14,26812000000000;63049;63049;1;16;17
1867;Aquila degli Abruzzi;L'Aquila;42,3506970000000;13,39993400000000;66049;66049;0;1;1
1867;Brindisi;Brindisi;40,6327732000000;17,94187240000000;74001;75802;0;1;1
1867;Cinisi;Cinisi;38,1585316000000;13,10541420000000;82031;82031;0;1;1
1867;Palermo;Palermo;38,1156864000000;13,36146350000000;82053;82053;0;1;1
1867;Petralia Sottana;Petralia Sottana;37,8082132000000;14,09313620000000;82056;82056;0;1;1
1867;Messina;Messina;38,1937342000000;15,55420880000000;83048;83048;0;1;1
1878;Ivrea;Ivrea;45,4673400000000;7,88065680000000;1125;1125;0;1;1
1878;Moncalieri;Moncalieri;44,9983525000000;7,68028780000000;1156;1156;0;1;1
1878;Torino;Torino;45,0703155000000;7,68685520000000;1272;1272;0;34;34
1878;Meina;Meina;45,7901212000000;8,53798960000000;3095;3095;0;1;1
1878;Piedimulera;Piedimulera;46,0264381000000;8,25925540000000;3117;3117;0;1;1
1878;Varallo;Varallo;45,8144736000000;8,25435400000000;2156;3486;0;1;1
1878;Intra;Verbania;45,9366367000000;8,57257550000000;3156;3859;0;2;2
1878;Biella;Biella;45,5628842000000;8,05833970000000;2012;3919;0;1;1
1878;Casale Monferrato;Casale Monferrato;45,1349543000000;8,45063980000000;6039;6039;0;1;1
1878;Novi Ligure;Novi Ligure;44,7627882000000;8,79502540000000;6114;6114;0;1;1
1878;Serravalle Scrivia;Serravalle Scrivia;44,7232617000000;8,85761530000000;6160;6160;0;1;1
1878;Asti;Asti;44,9007650000000;8,20643500000000;5005;6831;0;2;2
